name,url,highest_grade,count_8c_plus,avg_grade_first5
Mejdi Schalck,https://www.8a.nu/user/mejdi-schalck,26,10.0,23.33
Paul Jenft,https://www.8a.nu/user/jenft-paul,25,8.0,22.88
Anze Peharc,https://www.8a.nu/user/ane-peharc,21,,19.78
Adam Ondra,https://www.8a.nu/user/adam-ondra,29,388.0,25.54
Yannick Flohé,https://www.8a.nu/user/yannick-flohe,26,12.0,23.56
Colin Duffy,https://www.8a.nu/user/colin-duffy,25,5.0,22.58
Samuel Richard,https://www.8a.nu/user/samuel-richard,23,,21.5
Alberto Ginés López,https://www.8a.nu/user/alberto-gines-lopez-76th7,25,14.0,22.62
Jakob Schubert,https://www.8a.nu/user/jakob-schubert,26,26.0,23.21
Jan-Luca Posch,https://www.8a.nu/user/jan-luca-posch-bpzmx,24,1.0,23.33
Nikolay Rusev,https://www.8a.nu/user/niki-rusev,26,7.0,23.0
Elias Arriagada Krüger,https://www.8a.nu/user/elias-arriagada-krueger,25,1.0,21.4
Hannes Van Duysen,https://www.8a.nu/user/hannes-van-duysen,19,,19.0
Sascha Lehmann,https://www.8a.nu/user/sascha-lehmann,25,15.0,22.57
Gregor Vezonik,https://www.8a.nu/user/gregor-vezonik,25,1.0,20.92
Nicolai Uznik,https://www.8a.nu/user/nicolai-uznik-mv2g2,24,2.0,21.56
Alexander Megos,https://www.8a.nu/user/alex-megos,26,99.0,23.97
Charles Barron,https://www.8a.nu/user/charlie-barron,22,,22.0
Nicolas Collin,https://www.8a.nu/user/nicholas-collins,15,,13.0
Guillermo Peinado Franganillo,https://www.8a.nu/user/guillermo-f,21,,17.76
Slav Kirov,https://www.8a.nu/user/slav-kirov-70682,21,,18.94
Antoine Girard,https://www.8a.nu/user/antoine-girard,19,,17.67
Filip Schenk,https://www.8a.nu/user/filip-schenk,25,13.0,22.36
Dylan Parks,https://www.8a.nu/user/dylan-barks,26,8.0,23.24
Benjamin Vargas,https://www.8a.nu/user/benjamin-vargas,20,,19.5
Hugo Hoyer,https://www.8a.nu/user/hugo-hoyer,20,,17.36
Ram Levin,https://www.8a.nu/user/ram-levin,23,,19.27
Yannick Nagel,https://www.8a.nu/user/yannick-nagel,19,,16.09
Lukas Mokrolusky,https://www.8a.nu/user/lukas-mokrolusky,23,,20.33
Christian Wagner,https://www.8a.nu/user/christian-wagner,16,,13.58
Alexander Waller,https://www.8a.nu/user/zander-waller-j17fe,24,2.0,20.13
Jonas Utelli,https://www.8a.nu/user/jonas-utelli,24,1.0,22.43
Stefano Ghisolfi,https://www.8a.nu/user/stefano-ghisolfi-iixzv,28,90.0,25.24
Stefan Scherz,https://www.8a.nu/user/stefan-scherz,26,15.0,23.09
Zan Lovenjak Sudar,https://www.8a.nu/user/zan-lovenjak-sudar,24,1.0,21.52
Hannes Puman,https://www.8a.nu/user/hannes-puman,23,,20.31
Tim Würthner,https://www.8a.nu/user/tim-wuerthner,22,,20.0
Raffael Gruber,https://www.8a.nu/user/raffael-gruber,19,,19.0
Martin Bergant,https://www.8a.nu/user/martin-bergant-44211,25,4.0,21.95
Martin Stranik,https://www.8a.nu/user/martin-stranik-8347,21,,19.67
Timo Uznik,https://www.8a.nu/user/timo-uznik,23,,20.46
Paul Brand,https://www.8a.nu/user/paul-brand,22,,19.12
Rodrigo Iasi Hanada,https://www.8a.nu/user/rodrigo-iasi-hanada-955g3,23,,19.27
Yuval Shemla,https://www.8a.nu/user/yuval-shamla,20,,19.5
Alex Khazanov,https://www.8a.nu/user/alex-khazanov,25,6.0,22.77
Pietro Vidi,https://www.8a.nu/user/pietro-vidi-tz236,25,9.0,22.26
Dylan Smith,https://www.8a.nu/user/dylan-smith-1866,20,,17.3
Max Thomas,https://www.8a.nu/user/max-thomas,17,,14.1
Marcello Bombardi,https://www.8a.nu/user/marcello-bombardi,26,28.0,23.07
Ian Tan,https://www.8a.nu/user/brian-tan,19,,15.81
Giorgio Tomatis,https://www.8a.nu/user/giorgio-tomatis,27,20.0,23.12
Lucas Trandafir,https://www.8a.nu/user/lucas-trandafir,23,,20.33
Zach Galla,https://www.8a.nu/user/zach-galla,21,,19.13
James Pope,https://www.8a.nu/user/james-pope,16,,12.83
Julian Wimmer,https://www.8a.nu/user/julian-wimmer,21,,18.22
Ilja Auersperg,https://www.8a.nu/user/ilja-auersperg,24,1.0,21.15
Christopher Cosser,https://www.8a.nu/user/christopher-cosser,25,1.0,21.05
Felipe Ho Foganholo,https://www.8a.nu/user/felipe-ho-foganholo,25,4.0,22.19
Peter Kuric,https://www.8a.nu/user/peter-kuric,25,3.0,21.5
Pietro Biagini,https://www.8a.nu/user/pietro-biagini,24,2.0,21.11
Jonas Körner,https://www.8a.nu/user/jonas-kornerup-jensen,9,,9.0
Michael Piccolruaz,https://www.8a.nu/user/michael-piccolruaz,25,12.0,22.09
Nathan Sato,https://www.8a.nu/user/nathan-sato,23,,20.32
Vin Sukapanpotharam,https://www.8a.nu/user/vin-sukapanpotharam,22,,18.8
Jan Stipek,https://www.8a.nu/user/jan-stipek-x5igt,25,2.0,21.82
William Flores,https://www.8a.nu/user/william-flores,22,,18.8
Rolands Rugens,https://www.8a.nu/user/rolands-rugens,20,,15.5
Suraj Singh,https://www.8a.nu/user/suraj-singh,21,,15.88
Hossein Familrohani,https://www.8a.nu/user/hossein-familrohani,19,,16.67
Filip Matejička,https://www.8a.nu/user/filip-matejicka,23,,20.42
Max Bertone,https://www.8a.nu/user/max-bertone,25,5.0,22.23
Nino Grünenfelder,https://www.8a.nu/user/nino-gruenenfelder-69185,25,3.0,22.67
Philipp Martin,https://www.8a.nu/user/philippe-martin-6a967,3,,3.0
Christoph Hanke,https://www.8a.nu/user/christoph-anxmy,20,,17.32
Jules Marchaland,https://www.8a.nu/user/jules-marchaland,27,33.0,24.04
Jordi Poles,https://www.8a.nu/user/jordi-poles-1k13b,23,,20.21
Ross Fulkerson,https://www.8a.nu/user/ross-fulkerson,23,,20.9
Dimitri Flick,https://www.8a.nu/user/dimitri-flick,26,11.0,22.93
Nao Monchois,https://www.8a.nu/user/nao-monchois-rfa29,26,13.0,22.93
Davide Marco Colombo,https://www.8a.nu/user/davide-marco-colombo,24,1.0,21.29
Lovro Črep,https://www.8a.nu/user/lovro-crep,24,2.0,21.42
Auswin Aueareechit,https://www.8a.nu/user/auswin-aueareechit,23,,23.0
Victor Baudrand,https://www.8a.nu/user/victor-baudrand,24,2.0,21.64
Milan Preskar,https://www.8a.nu/user/milan-preskar,23,,20.12
Rhys Conlon,https://www.8a.nu/user/rhys-conlon,23,,19.95
Johannes Hofherr,https://www.8a.nu/user/johannes-hofherr,25,7.0,22.08
Elliot Eriksson,https://www.8a.nu/user/elliot-eriksson,20,,17.5
Maël Grenier,https://www.8a.nu/user/mael-grenier,24,1.0,21.67
Mel Janse Van Rensburg,https://www.8a.nu/user/mel-janse-van-rensburg,25,3.0,22.0
Hugo Parmentier,https://www.8a.nu/user/hugo-parmentier,27,22.0,24.17
Ege Duman,https://www.8a.nu/user/ege-duman-po43o,22,,19.0
Mark Brand,https://www.8a.nu/user/mark-brand-34055,25,1.0,21.02
Eliáš Kysela,https://www.8a.nu/user/elias-kysela,25,8.0,22.83
Illia Bakhmet-Smolenskyi,https://www.8a.nu/user/illya-bakhmet-smolenskyi,25,17.0,22.46
Oriane Bertone,https://www.8a.nu/user/oriane-bertone-5nw5o,24,2.0,21.31
Brooke Raboutou,https://www.8a.nu/user/brooke-raboutou,23,,20.33
Agathe Calliet,https://www.8a.nu/user/agathe-calliet,20,,18.73
Jessica Pilz,https://www.8a.nu/user/jessica-pilz,26,7.0,22.12
Lucia Dörffel,https://www.8a.nu/user/lucia-doerffel,23,,21.17
Fanny Gibert,https://www.8a.nu/user/fanny-gibert,21,,18.89
Lucija Tarkus,https://www.8a.nu/user/lucija-tarkus,24,1.0,21.08
Ai Mori,https://www.8a.nu/user/ai-mori,19,,19.0
Afra Hönig,https://www.8a.nu/user/afra-hoenig,18,,15.42
Camilla Moroni,https://www.8a.nu/user/camilla-moroni,22,,19.22
Kylie Cullen,https://www.8a.nu/user/kylie-cullen,22,,18.73
Laura Rogora,https://www.8a.nu/user/laura-rogora-26514,25,6.0,22.29
Giorgia Tesio,https://www.8a.nu/user/giorgia-tesio-f,22,,19.0
Chloe Caulier,https://www.8a.nu/user/chloe-caulier,20,,18.0
Franziska Sterrer,https://www.8a.nu/user/ziska-su,15,,12.15
Mia Krampl,https://www.8a.nu/user/mia-krampl,23,,20.46
Molly Thompson-Smith,https://www.8a.nu/user/molly-thompson-smith,23,,20.57
Cloe Coscoy,https://www.8a.nu/user/cloe-coscoy,19,,17.5
Andrea Kümin,https://www.8a.nu/user/andrea-kuemin,23,,20.17
Manon Hily,https://www.8a.nu/user/manon-hily,24,5.0,21.26
Stasa Gejo,https://www.8a.nu/user/stasa-gejo,23,,19.98
Zoe Peetermans,https://www.8a.nu/user/zoe-peetermans,19,,17.35
Michaela Smetanova,https://www.8a.nu/user/michaela-smetanova,20,,17.38
Vita Lukan,https://www.8a.nu/user/vita-lukan,24,2.0,21.57
Ingrid Kindlihagen,https://www.8a.nu/user/ingrid-kindlihagen-71248,21,,18.27
Alejandra Contreras,https://www.8a.nu/user/alejandra-contreras,14,,11.5
Alannah Yip,https://www.8a.nu/user/alannah-yip,18,,16.0
Julija Kruder,https://www.8a.nu/user/julija-kruder,19,,16.3
Lianet Castillo,https://www.8a.nu/user/lianet-castillo,17,,14.28
Sol Sa,https://www.8a.nu/user/sol-sa,23,,20.5
Ema Galeova,https://www.8a.nu/user/ema-galeova,21,,18.42
Analise Van Hoang,https://www.8a.nu/user/analise-van-hoang,19,,18.33
Noa Shiran,https://www.8a.nu/user/noa-shiran,23,,23.0
Aleksandra Totkova,https://www.8a.nu/user/aleksandra-b,11,,7.93
Marian Kiara Luna Micheri,https://www.8a.nu/user/marian-kreyer,19,,15.89
Margarita Agambayeva,https://www.8a.nu/user/marga-rita,19,,16.58
Yali Wei,https://www.8a.nu/user/lei-wei,15,,11.78
Tegwen Oates,https://www.8a.nu/user/tegwen-oates,13,,12.67
Svana Bjarnason,https://www.8a.nu/user/svana-bjarnason-b606c,17,,14.4
Iziar Martínez Almendros,https://www.8a.nu/user/iziar-martinez,25,1.0,21.08
Pernille Tvedt,https://www.8a.nu/user/pernille-s-1bc25,4,,4.0
Ella Fisher,https://www.8a.nu/user/daniel-fisher,24,1.0,20.98
Sunniva Eik Haave,https://www.8a.nu/user/sunniva-haave,18,,14.12
Lynn Van Der Meer,https://www.8a.nu/user/lynn-van-der-meer,23,,19.73
Marketa Janosova,https://www.8a.nu/user/marketa-janosova,23,,19.78
Katharina Bergmann,https://www.8a.nu/user/katharina-s,14,,10.69
Mattea Pötzi,https://www.8a.nu/user/mattea-poetzi,24,1.0,20.72
Camille Pouget,https://www.8a.nu/user/camille-pouget,23,,20.8
Julia Fiser,https://www.8a.nu/user/julia-fiser,24,1.0,20.72
Lana Skusek,https://www.8a.nu/user/lana-skusek,23,,20.57
Eva Maria Hammelmüller,https://www.8a.nu/user/eva-maria,8,,5.55
Martina Demmel,https://www.8a.nu/user/martina-demmel,25,16.0,21.79
Melina Costanza,https://www.8a.nu/user/melina-costanza-7pvyo,19,,19.0
Claudia Ghisolfi,https://www.8a.nu/user/claudia-ghisolfi,25,3.0,21.78
Noé Looser,https://www.8a.nu/user/noe-looser,23,,19.93
Tereza Siruckova,https://www.8a.nu/user/tereza-siruckova,20,,17.56
Nika Potapova,https://www.8a.nu/user/nika-potapova,25,1.0,21.47
Kintana Iltis,https://www.8a.nu/user/kintana-iltis,21,,18.14
Lucie Watillon,https://www.8a.nu/user/lucie-watillon,22,,19.41
Olivia Ogier,https://www.8a.nu/user/olivia-ogier-nu9vm,23,,19.83
María Fernanda González Rámirez,https://www.8a.nu/user/fernanda-gonzalez,20,,17.25
Quinn Mason,https://www.8a.nu/user/quinn-mason,22,,18.78
Danai Valsamidi,https://www.8a.nu/user/danai-valsamidi,18,,15.41
